date,store_id,product_id,opening_stock,units_sold,restocked_qty,closing_stock
2023-07-02,S001,P001,4499,38,0,4461
2023-07-03,S001,P001,4461,50,181,4592
2023-07-04,S001,P001,4592,39,0,4553
2023-07-05,S001,P001,4553,28,92,4617
2023-07-06,S001,P001,4617,65,0,4552
2023-07-07,S001,P001,4552,39,117,4630
2023-07-08,S001,P001,4630,98,0,4532
2023-07-09,S001,P001,4532,49,0,4483
2023-07-10,S001,P001,4483,57,197,4623
2023-07-11,S001,P001,4623,40,0,4583
2023-07-12,S001,P001,4583,66,185,4702
2023-07-13,S001,P001,4702,43,0,4659
2023-07-14,S001,P001,4659,47,145,4757
2023-07-15,S001,P001,4757,77,0,4680
2023-07-16,S001,P001,4680,18,0,4662
2023-07-17,S001,P001,4662,32,187,4817
2023-07-18,S001,P001,4817,37,0,4780
2023-07-19,S001,P001,4780,16,144,4908
2023-07-20,S001,P001,4908,29,0,4879
2023-07-21,S001,P001,4879,44,81,4916
2023-07-22,S001,P001,4916,94,0,4822
2023-07-23,S001,P001,4822,44,0,4778
2023-07-24,S001,P001,4778,24,111,4865
2023-07-25,S001,P001,4865,61,0,4804
2023-07-26,S001,P001,4804,0,155,4959
2023-07-27,S001,P001,4959,68,0,4891
2023-07-28,S001,P001,4891,27,183,5047
2023-07-29,S001,P001,5047,35,0,5012
2023-07-30,S001,P001,5012,23,0,4989
2023-07-31,S001,P001,4989,18,195,5166
2023-08-01,S001,P001,5166,27,0,5139
2023-08-02,S001,P001,5139,33,118,5224
2023-08-03,S001,P001,5224,55,0,5169
2023-08-04,S001,P001,5169,41,112,5240
2023-08-05,S001,P001,5240,83,0,5157
2023-08-06,S001,P001,5157,77,0,5080
2023-08-07,S001,P001,5080,50,115,5145
2023-08-08,S001,P001,5145,37,0,5108
2023-08-09,S001,P001,5108,40,100,5168
2023-08-10,S001,P001,5168,41,0,5127
2023-08-11,S001,P001,5127,85,198,5240
2023-08-12,S001,P001,5240,69,0,5171
2023-08-13,S001,P001,5171,39,0,5132
2023-08-14,S001,P001,5132,30,182,5284
2023-08-15,S001,P001,5284,20,0,5264
2023-08-16,S001,P001,5264,46,84,5302
2023-08-17,S001,P001,5302,68,0,5234
2023-08-18,S001,P001,5234,77,159,5316
2023-08-19,S001,P001,5316,70,0,5246
2023-08-20,S001,P001,5246,74,0,5172
2023-08-21,S001,P001,5172,55,93,5210
2023-08-22,S001,P001,5210,44,0,5166
2023-08-23,S001,P001,5166,31,133,5268
2023-08-24,S001,P001,5268,46,0,5222
2023-08-25,S001,P001,5222,33,91,5280
2023-08-26,S001,P001,5280,55,0,5225
2023-08-27,S001,P001,5225,26,0,5199
2023-08-28,S001,P001,5199,60,114,5253
2023-08-29,S001,P001,5253,29,0,5224
2023-08-30,S001,P001,5224,37,146,5333
2023-08-31,S001,P001,5333,63,0,5270
2023-09-01,S001,P001,5270,37,99,5332
2023-09-02,S001,P001,5332,43,0,5289
2023-09-03,S001,P001,5289,42,0,5247
2023-09-04,S001,P001,5247,56,180,5371
2023-09-05,S001,P001,5371,62,0,5309
2023-09-06,S001,P001,5309,55,152,5406
2023-09-07,S001,P001,5406,21,0,5385
2023-09-08,S001,P001,5385,44,151,5492
2023-09-09,S001,P001,5492,30,0,5462
2023-09-10,S001,P001,5462,69,0,5393
2023-09-11,S001,P001,5393,31,138,5500
2023-09-12,S001,P001,5500,33,0,5467
2023-09-13,S001,P001,5467,52,96,5511
2023-09-14,S001,P001,5511,33,0,5478
2023-09-15,S001,P001,5478,67,135,5546
2023-09-16,S001,P001,5546,84,0,5462
2023-09-17,S001,P001,5462,26,0,5436
2023-09-18,S001,P001,5436,75,111,5472
2023-09-19,S001,P001,5472,40,0,5432
2023-09-20,S001,P001,5432,25,171,5578
2023-09-21,S001,P001,5578,27,0,5551
2023-09-22,S001,P001,5551,26,182,5707
2023-09-23,S001,P001,5707,75,0,5632
2023-09-24,S001,P001,5632,26,0,5606
2023-09-25,S001,P001,5606,72,156,5690
2023-09-26,S001,P001,5690,20,0,5670
2023-09-27,S001,P001,5670,35,181,5816
2023-09-28,S001,P001,5816,36,0,5780
2023-09-29,S001,P001,5780,60,188,5908
2023-09-30,S001,P001,5908,82,0,5826
2023-10-01,S001,P001,5826,82,0,5744
2023-10-02,S001,P001,5744,38,94,5800
2023-10-03,S001,P001,5800,34,0,5766
2023-10-04,S001,P001,5766,42,122,5846
2023-10-05,S001,P001,5846,26,0,5820
2023-10-06,S001,P001,5820,65,197,5952
2023-10-07,S001,P001,5952,42,0,5910
2023-10-08,S001,P001,5910,63,0,5847
2023-10-09,S001,P001,5847,29,171,5989
2023-10-10,S001,P001,5989,26,0,5963
2023-10-11,S001,P001,5963,47,101,6017
2023-10-12,S001,P001,6017,73,0,5944
2023-10-13,S001,P001,5944,63,145,6026
2023-10-14,S001,P001,6026,86,0,5940
2023-10-15,S001,P001,5940,40,0,5900
2023-10-16,S001,P001,5900,42,90,5948
2023-10-17,S001,P001,5948,40,0,5908
2023-10-18,S001,P001,5908,47,197,6058
2023-10-19,S001,P001,6058,45,0,6013
2023-10-20,S001,P001,6013,67,120,6066
2023-10-21,S001,P001,6066,67,0,5999
2023-10-22,S001,P001,5999,33,0,5966
2023-10-23,S001,P001,5966,66,199,6099
2023-10-24,S001,P001,6099,60,0,6039
2023-10-25,S001,P001,6039,55,198,6182
2023-10-26,S001,P001,6182,44,0,6138
2023-10-27,S001,P001,6138,26,173,6285
2023-10-28,S001,P001,6285,66,0,6219
2023-10-29,S001,P001,6219,93,0,6126
2023-10-30,S001,P001,6126,49,163,6240
2023-10-31,S001,P001,6240,67,0,6173
2023-11-01,S001,P001,6173,140,125,6158
2023-11-02,S001,P001,6158,114,0,6044
2023-11-03,S001,P001,6044,64,88,6068
2023-11-04,S001,P001,6068,71,0,5997
2023-11-05,S001,P001,5997,92,0,5905
2023-11-06,S001,P001,5905,69,118,5954
2023-11-07,S001,P001,5954,36,0,5918
2023-11-08,S001,P001,5918,93,145,5970
2023-11-09,S001,P001,5970,102,0,5868
2023-11-10,S001,P001,5868,114,178,5932
2023-11-11,S001,P001,5932,139,0,5793
2023-11-12,S001,P001,5793,40,0,5753
2023-11-13,S001,P001,5753,55,152,5850
2023-11-14,S001,P001,5850,84,0,5766
2023-11-15,S001,P001,5766,102,128,5792
2023-11-16,S001,P001,5792,88,0,5704
2023-11-17,S001,P001,5704,97,121,5728
2023-11-18,S001,P001,5728,60,0,5668
2023-11-19,S001,P001,5668,94,0,5574
2023-11-20,S001,P001,5574,73,157,5658
2023-11-21,S001,P001,5658,128,0,5530
2023-11-22,S001,P001,5530,119,93,5504
2023-11-23,S001,P001,5504,121,0,5383
2023-11-24,S001,P001,5383,66,143,5460
2023-11-25,S001,P001,5460,122,0,5338
2023-11-26,S001,P001,5338,96,0,5242
2023-11-27,S001,P001,5242,41,144,5345
2023-11-28,S001,P001,5345,66,0,5279
2023-11-29,S001,P001,5279,85,91,5285
2023-11-30,S001,P001,5285,114,0,5171
2023-12-01,S001,P001,5171,76,178,5273
2023-12-02,S001,P001,5273,59,0,5214
2023-12-03,S001,P001,5214,58,0,5156
2023-12-04,S001,P001,5156,146,193,5203
2023-12-05,S001,P001,5203,59,0,5144
2023-12-06,S001,P001,5144,137,168,5175
2023-12-07,S001,P001,5175,134,0,5041
2023-12-08,S001,P001,5041,110,150,5081
2023-12-09,S001,P001,5081,156,0,4925
2023-12-10,S001,P001,4925,82,0,4843
2023-12-11,S001,P001,4843,107,124,4860
2023-12-12,S001,P001,4860,136,0,4724
2023-12-13,S001,P001,4724,49,182,4857
2023-12-14,S001,P001,4857,89,0,4768
2023-12-15,S001,P001,4768,100,178,4846
2023-12-16,S001,P001,4846,65,0,4781
2023-12-17,S001,P001,4781,76,0,4705
2023-12-18,S001,P001,4705,151,154,4708
2023-12-19,S001,P001,4708,66,0,4642
2023-12-20,S001,P001,4642,135,86,4593
2023-12-21,S001,P001,4593,108,0,4485
2023-12-22,S001,P001,4485,45,190,4630
2023-12-23,S001,P001,4630,134,0,4496
2023-12-24,S001,P001,4496,112,0,4384
2023-12-25,S001,P001,4384,96,102,4390
2023-12-26,S001,P001,4390,107,0,4283
2023-12-27,S001,P001,4283,141,167,4309
2023-12-28,S001,P001,4309,114,0,4195
2023-12-29,S001,P001,4195,71,190,4314
2023-12-30,S001,P001,4314,50,0,4264
2023-12-31,S001,P001,4264,129,0,4135
2023-01-01,S001,P002,388,54,0,334
2023-01-02,S001,P002,334,39,144,439
2023-01-03,S001,P002,439,48,0,391
2023-01-04,S001,P002,391,37,134,488
2023-01-05,S001,P002,488,38,0,450
2023-01-06,S001,P002,450,17,115,548
2023-01-07,S001,P002,548,30,0,518
2023-01-08,S001,P002,518,61,0,457
2023-01-09,S001,P002,457,16,122,563
2023-01-10,S001,P002,563,25,0,538
2023-01-11,S001,P002,538,33,89,594
2023-01-12,S001,P002,594,25,0,569
2023-01-13,S001,P002,569,48,92,613
2023-01-14,S001,P002,613,49,0,564
2023-01-15,S001,P002,564,27,0,537
2023-01-16,S001,P002,537,26,142,653
2023-01-17,S001,P002,653,32,0,621
2023-01-18,S001,P002,621,37,137,721
2023-01-19,S001,P002,721,33,0,688
2023-01-20,S001,P002,688,40,110,758
2023-01-21,S001,P002,758,46,0,712
2023-01-22,S001,P002,712,33,0,679
2023-01-23,S001,P002,679,29,198,848
2023-01-24,S001,P002,848,13,0,835
2023-01-25,S001,P002,835,9,122,948
2023-01-26,S001,P002,948,17,0,931
2023-01-27,S001,P002,931,18,154,1067
2023-01-28,S001,P002,1067,45,0,1022
2023-01-29,S001,P002,1022,38,0,984
2023-01-30,S001,P002,984,27,175,1132
2023-01-31,S001,P002,1132,13,0,1119
2023-02-01,S001,P002,1119,38,102,1183
2023-02-02,S001,P002,1183,45,0,1138
2023-02-03,S001,P002,1138,44,174,1268
2023-02-04,S001,P002,1268,46,0,1222
2023-02-05,S001,P002,1222,61,0,1161
2023-02-06,S001,P002,1161,32,114,1243
2023-02-07,S001,P002,1243,16,0,1227
2023-02-08,S001,P002,1227,32,138,1333
2023-02-09,S001,P002,1333,25,0,1308
2023-02-10,S001,P002,1308,28,173,1453
2023-02-11,S001,P002,1453,56,0,1397
2023-02-12,S001,P002,1397,58,0,1339
2023-02-13,S001,P002,1339,20,157,1476
2023-02-14,S001,P002,1476,24,0,1452
2023-02-15,S001,P002,1452,30,134,1556
2023-02-16,S001,P002,1556,34,0,1522
2023-02-17,S001,P002,1522,45,107,1584
2023-02-18,S001,P002,1584,62,0,1522
2023-02-19,S001,P002,1522,54,0,1468
2023-02-20,S001,P002,1468,11,157,1614
2023-02-21,S001,P002,1614,30,0,1584
2023-02-22,S001,P002,1584,45,164,1703
2023-02-23,S001,P002,1703,33,0,1670
2023-02-24,S001,P002,1670,16,127,1781
2023-02-25,S001,P002,1781,55,0,1726
2023-02-26,S001,P002,1726,46,0,1680
2023-02-27,S001,P002,1680,46,188,1822
2023-02-28,S001,P002,1822,26,0,1796
2023-03-01,S001,P002,1796,35,98,1859
2023-03-02,S001,P002,1859,27,0,1832
2023-03-03,S001,P002,1832,31,189,1990
2023-03-04,S001,P002,1990,76,0,1914
2023-03-05,S001,P002,1914,43,0,1871
2023-03-06,S001,P002,1871,32,193,2032
2023-03-07,S001,P002,2032,46,0,1986
2023-03-08,S001,P002,1986,47,95,2034
2023-03-09,S001,P002,2034,59,0,1975
2023-03-10,S001,P002,1975,51,118,2042
2023-03-11,S001,P002,2042,46,0,1996
2023-03-12,S001,P002,1996,34,0,1962
2023-03-13,S001,P002,1962,69,178,2071
2023-03-14,S001,P002,2071,45,0,2026
2023-03-15,S001,P002,2026,48,146,2124
2023-03-16,S001,P002,2124,52,0,2072
2023-03-17,S001,P002,2072,16,84,2140
2023-03-18,S001,P002,2140,52,0,2088
2023-03-19,S001,P002,2088,34,0,2054
2023-03-20,S001,P002,2054,43,116,2127
2023-03-21,S001,P002,2127,36,0,2091
2023-03-22,S001,P002,2091,40,105,2156
2023-03-23,S001,P002,2156,58,0,2098
2023-03-24,S001,P002,2098,33,171,2236
2023-03-25,S001,P002,2236,68,0,2168
2023-03-26,S001,P002,2168,30,0,2138
2023-03-27,S001,P002,2138,24,107,2221
2023-03-28,S001,P002,2221,36,0,2185
2023-03-29,S001,P002,2185,28,156,2313
2023-03-30,S001,P002,2313,34,0,2279
2023-03-31,S001,P002,2279,62,193,2410
2023-04-01,S001,P002,2410,15,0,2395
2023-04-02,S001,P002,2395,52,0,2343
2023-04-03,S001,P002,2343,27,134,2450
2023-04-04,S001,P002,2450,16,0,2434
2023-04-05,S001,P002,2434,34,105,2505
2023-04-06,S001,P002,2505,14,0,2491
2023-04-07,S001,P002,2491,40,183,2634
2023-04-08,S001,P002,2634,31,0,2603
2023-04-09,S001,P002,2603,60,0,2543
2023-04-10,S001,P002,2543,67,113,2589
2023-04-11,S001,P002,2589,62,0,2527
2023-04-12,S001,P002,2527,54,147,2620
2023-04-13,S001,P002,2620,22,0,2598
2023-04-14,S001,P002,2598,45,165,2718
2023-04-15,S001,P002,2718,57,0,2661
2023-04-16,S001,P002,2661,80,0,2581
2023-04-17,S001,P002,2581,9,176,2748
2023-04-18,S001,P002,2748,47,0,2701
2023-04-19,S001,P002,2701,18,193,2876
2023-04-20,S001,P002,2876,62,0,2814
2023-04-21,S001,P002,2814,43,86,2857
2023-04-22,S001,P002,2857,47,0,2810
2023-04-23,S001,P002,2810,42,0,2768
2023-04-24,S001,P002,2768,39,152,2881
2023-04-25,S001,P002,2881,24,0,2857
2023-04-26,S001,P002,2857,38,188,3007
2023-04-27,S001,P002,3007,24,0,2983
2023-04-28,S001,P002,2983,67,164,3080
2023-04-29,S001,P002,3080,38,0,3042
2023-04-30,S001,P002,3042,67,0,2975
2023-05-01,S001,P002,2975,72,195,3098
2023-05-02,S001,P002,3098,37,0,3061
2023-05-03,S001,P002,3061,37,185,3209
2023-05-04,S001,P002,3209,42,0,3167
2023-05-05,S001,P002,3167,58,160,3269
2023-05-06,S001,P002,3269,82,0,3187
2023-05-07,S001,P002,3187,43,0,3144
2023-05-08,S001,P002,3144,73,194,3265
2023-05-09,S001,P002,3265,29,0,3236
2023-05-10,S001,P002,3236,43,113,3306
2023-05-11,S001,P002,3306,64,0,3242
2023-05-12,S001,P002,3242,48,124,3318
2023-05-13,S001,P002,3318,60,0,3258
2023-05-14,S001,P002,3258,71,0,3187
2023-05-15,S001,P002,3187,66,188,3309
2023-05-16,S001,P002,3309,46,0,3263
2023-05-17,S001,P002,3263,31,123,3355
2023-05-18,S001,P002,3355,54,0,3301
2023-05-19,S001,P002,3301,36,84,3349
2023-05-20,S001,P002,3349,24,0,3325
2023-05-21,S001,P002,3325,32,0,3293
2023-05-22,S001,P002,3293,21,124,3396
2023-05-23,S001,P002,3396,42,0,3354
2023-05-24,S001,P002,3354,28,182,3508
2023-05-25,S001,P002,3508,79,0,3429
2023-05-26,S001,P002,3429,34,181,3576
2023-05-27,S001,P002,3576,74,0,3502
2023-05-28,S001,P002,3502,30,0,3472
2023-05-29,S001,P002,3472,32,119,3559
2023-05-30,S001,P002,3559,50,0,3509
2023-05-31,S001,P002,3509,12,153,3650
2023-06-01,S001,P002,3650,33,0,3617
2023-06-02,S001,P002,3617,24,104,3697
2023-06-03,S001,P002,3697,67,0,3630
2023-06-04,S001,P002,3630,115,0,3515
2023-06-05,S001,P002,3515,37,89,3567
2023-06-06,S001,P002,3567,27,0,3540
2023-06-07,S001,P002,3540,32,115,3623
2023-06-08,S001,P002,3623,57,0,3566
2023-06-09,S001,P002,3566,42,123,3647
2023-06-10,S001,P002,3647,81,0,3566
2023-06-11,S001,P002,3566,104,0,3462
2023-06-12,S001,P002,3462,39,100,3523
2023-06-13,S001,P002,3523,56,0,3467
2023-06-14,S001,P002,3467,36,156,3587
2023-06-15,S001,P002,3587,64,0,3523
2023-06-16,S001,P002,3523,29,162,3656
2023-06-17,S001,P002,3656,38,0,3618
2023-06-18,S001,P002,3618,83,0,3535
2023-06-19,S001,P002,3535,84,100,3551
2023-06-20,S001,P002,3551,73,0,3478
2023-06-21,S001,P002,3478,34,118,3562
2023-06-22,S001,P002,3562,30,0,3532
2023-06-23,S001,P002,3532,25,173,3680
2023-06-24,S001,P002,3680,43,0,3637
2023-06-25,S001,P002,3637,130,0,3507
2023-06-26,S001,P002,3507,59,155,3603
2023-06-27,S001,P002,3603,62,0,3541
2023-06-28,S001,P002,3541,78,121,3584
2023-06-29,S001,P002,3584,44,0,3540
2023-06-30,S001,P002,3540,104,199,3635
2023-07-01,S001,P002,3635,70,0,3565
2023-07-02,S001,P002,3565,55,0,3510
2023-07-03,S001,P002,3510,63,117,3564
2023-07-04,S001,P002,3564,35,0,3529
2023-07-05,S001,P002,3529,82,83,3530
2023-07-06,S001,P002,3530,110,0,3420
2023-07-07,S001,P002,3420,65,167,3522
2023-07-08,S001,P002,3522,56,0,3466
2023-07-09,S001,P002,3466,78,0,3388
2023-07-10,S001,P002,3388,86,125,3427
2023-07-11,S001,P002,3427,89,0,3338
2023-07-12,S001,P002,3338,45,183,3476
2023-07-13,S001,P002,3476,48,0,3428
2023-07-14,S001,P002,3428,37,192,3583
2023-07-15,S001,P002,3583,58,0,3525
2023-07-16,S001,P002,3525,40,0,3485
2023-07-17,S001,P002,3485,52,124,3557
2023-07-18,S001,P002,3557,39,0,3518
2023-07-19,S001,P002,3518,33,174,3659
2023-07-20,S001,P002,3659,48,0,3611
2023-07-21,S001,P002,3611,88,133,3656
2023-07-22,S001,P002,3656,33,0,3623
2023-07-23,S001,P002,3623,117,0,3506
2023-07-24,S001,P002,3506,43,168,3631
2023-07-25,S001,P002,3631,106,0,3525
2023-07-26,S001,P002,3525,33,98,3590
2023-07-27,S001,P002,3590,33,0,3557
2023-07-28,S001,P002,3557,31,97,3623
2023-07-29,S001,P002,3623,126,0,3497
2023-07-30,S001,P002,3497,71,0,3426
2023-07-31,S001,P002,3426,56,117,3487
2023-08-01,S001,P002,3487,21,0,3466
2023-08-02,S001,P002,3466,45,97,3518
2023-08-03,S001,P002,3518,71,0,3447
2023-08-04,S001,P002,3447,71,134,3510
2023-08-05,S001,P002,3510,38,0,3472
2023-08-06,S001,P002,3472,23,0,3449
2023-08-07,S001,P002,3449,58,167,3558
2023-08-08,S001,P002,3558,77,0,3481
2023-08-09,S001,P002,3481,37,126,3570
2023-08-10,S001,P002,3570,51,0,3519
2023-08-11,S001,P002,3519,49,84,3554
2023-08-12,S001,P002,3554,83,0,3471
2023-08-13,S001,P002,3471,34,0,3437
2023-08-14,S001,P002,3437,54,106,3489
2023-08-15,S001,P002,3489,26,0,3463
2023-08-16,S001,P002,3463,43,102,3522
2023-08-17,S001,P002,3522,34,0,3488
2023-08-18,S001,P002,3488,57,84,3515
2023-08-19,S001,P002,3515,56,0,3459
2023-08-20,S001,P002,3459,83,0,3376
2023-08-21,S001,P002,3376,49,88,3415
2023-08-22,S001,P002,3415,16,0,3399
2023-08-23,S001,P002,3399,18,150,3531
2023-08-24,S001,P002,3531,48,0,3483
2023-08-25,S001,P002,3483,49,80,3514
2023-08-26,S001,P002,3514,82,0,3432
2023-08-27,S001,P002,3432,57,0,3375
2023-08-28,S001,P002,3375,45,190,3520
2023-08-29,S001,P002,3520,39,0,3481
2023-08-30,S001,P002,3481,60,155,3576
2023-08-31,S001,P002,3576,38,0,3538
2023-09-01,S001,P002,3538,65,187,3660
