date,store_id,product_id,channel,sales_qty,unit_price,discount_pct,sales_amount,returns_qty,cost_per_unit,gross_margin
2023-01-01,S005,P008,Online,51,8.2,0.049,397.8,0,4.0,193.71
2023-01-01,S005,P009,Online,17,74.96,0.08,1172.32,0,38.0,526.37
2023-01-01,S005,P010,In-Store,58,39.1,0.141,1948.22,2,18.0,904.04
2023-01-02,S001,P001,Online,16,825.12,0.117,11657.28,0,600.0,2057.3
2023-01-02,S001,P002,In-Store,39,25.44,0.003,989.04,0,8.0,677.18
2023-01-02,S001,P003,In-Store,8,12.36,0.087,90.24,0,7.0,34.28
2023-01-02,S001,P004,Online,11,117.29,0.114,1143.12,0,70.0,373.11
2023-01-02,S001,P005,In-Store,45,92.64,0.081,3831.3,2,45.0,1806.13
2023-01-02,S001,P006,Mobile App,18,712.19,0.134,11101.68,0,450.0,3001.62
2023-01-02,S001,P007,In-Store,30,60.73,0.119,1605.0,1,22.0,945.09
2023-01-02,S001,P008,Online,35,7.93,0.101,249.55,0,4.0,109.52
2023-01-02,S001,P009,In-Store,17,76.02,0.052,1225.19,0,38.0,579.14
2023-01-02,S001,P010,Mobile App,27,39.02,0.107,940.68,0,18.0,454.81
2023-01-02,S002,P001,Online,26,831.2,0.089,19687.72,0,600.0,4087.8
2023-01-02,S002,P002,In-Store,25,24.69,0.015,608.0,0,8.0,407.99
2023-01-02,S002,P003,In-Store,63,11.87,0.022,731.43,0,7.0,290.36
2023-01-02,S002,P004,In-Store,44,118.86,0.129,4555.32,2,70.0,1475.19
2023-01-02,S002,P005,In-Store,2,97.38,0.03,188.92,0,45.0,98.92
2023-01-02,S002,P006,In-Store,32,697.13,0.13,19408.0,0,450.0,5008.1
2023-01-02,S002,P007,Mobile App,30,60.94,0.128,1594.2,1,22.0,934.19
2023-01-02,S002,P008,Mobile App,20,8.21,0.029,159.4,0,4.0,79.44
2023-01-02,S002,P009,Mobile App,59,73.52,0.004,4320.57,0,38.0,2078.33
2023-01-02,S002,P010,In-Store,36,41.01,0.067,1377.36,1,18.0,729.44
2023-01-02,S003,P001,Online,33,824.93,0.043,26052.18,1,600.0,6252.11
2023-01-02,S003,P002,In-Store,43,25.63,0.077,1017.38,1,8.0,673.23
2023-01-02,S003,P003,In-Store,24,12.12,0.029,282.48,0,7.0,114.44
2023-01-02,S003,P004,Online,37,120.61,0.149,3797.68,1,70.0,1207.65
2023-01-02,S003,P005,Online,37,97.77,0.131,3143.52,0,45.0,1478.6
2023-01-02,S003,P006,In-Store,47,706.77,0.103,29796.59,1,450.0,8646.72
2023-01-02,S003,P007,In-Store,29,61.51,0.073,1653.58,0,22.0,1015.57
2023-01-02,S003,P008,Online,24,7.8,0.064,175.2,0,4.0,79.22
2023-01-02,S003,P009,Online,0,75.39,0.031,0.0,0,38.0,0.0
2023-01-02,S003,P010,Online,27,40.78,0.129,959.04,0,18.0,473.02
2023-01-02,S004,P001,In-Store,23,872.09,0.101,18032.23,0,600.0,4232.2
2023-01-02,S004,P002,Online,51,25.08,0.019,1254.6,1,8.0,846.78
2023-01-02,S004,P003,Online,59,12.34,0.133,631.3,0,7.0,218.23
2023-01-02,S004,P004,Mobile App,10,117.82,0.027,1146.4,0,70.0,446.39
2023-01-02,S004,P005,Online,53,96.73,0.015,5049.84,1,45.0,2664.79
2023-01-02,S004,P006,Online,36,708.36,0.025,24863.4,0,450.0,8663.44
2023-01-02,S004,P007,In-Store,20,59.39,0.052,1126.0,0,22.0,686.03
2023-01-02,S004,P008,Mobile App,24,7.8,0.146,159.84,1,4.0,63.87
2023-01-02,S004,P009,Online,23,72.97,0.015,1653.24,0,38.0,779.14
2023-01-02,S004,P010,In-Store,59,39.85,0.079,2165.3,2,18.0,1103.41
2023-01-02,S005,P001,Online,26,872.19,0.094,20545.2,0,600.0,4945.31
2023-01-02,S005,P002,Online,23,24.48,0.13,489.9,1,8.0,305.84
2023-01-02,S005,P003,Online,22,12.35,0.102,243.98,0,7.0,89.99
2023-01-02,S005,P004,Online,41,117.2,0.119,4233.25,1,70.0,1363.38
2023-01-02,S005,P005,In-Store,46,97.78,0.133,3899.88,1,45.0,1829.66
2023-01-02,S005,P006,Mobile App,11,685.13,0.03,7310.38,0,450.0,2360.34
2023-01-02,S005,P007,Online,13,60.26,0.132,680.03,0,22.0,393.97
2023-01-02,S005,P008,Online,24,7.89,0.02,185.52,0,4.0,89.57
2023-01-02,S005,P009,Online,31,74.34,0.059,2168.45,1,38.0,990.57
2023-01-02,S005,P010,In-Store,55,38.84,0.03,2071.85,0,18.0,1082.11
2023-01-03,S001,P001,In-Store,17,841.3,0.001,14287.82,0,600.0,4087.8
2023-01-03,S001,P002,In-Store,48,24.44,0.074,1086.24,2,8.0,702.31
2023-01-03,S001,P003,Online,50,11.98,0.136,517.5,1,7.0,167.54
2023-01-03,S001,P004,In-Store,24,120.15,0.028,2802.96,0,70.0,1122.86
2023-01-03,S001,P005,In-Store,15,95.74,0.134,1243.65,0,45.0,568.66
2023-01-03,S001,P006,Online,20,707.05,0.016,13914.8,0,450.0,4914.74
2023-01-03,S001,P007,Mobile App,47,61.07,0.048,2732.58,1,22.0,1698.52
2023-01-03,S001,P008,Mobile App,17,8.14,0.037,133.28,0,4.0,65.26
2023-01-03,S001,P009,In-Store,26,74.56,0.094,1756.3,0,38.0,768.34
2023-01-03,S001,P010,Online,27,40.06,0.084,990.63,0,18.0,504.76
2023-01-03,S002,P001,In-Store,36,834.62,0.111,26711.28,0,600.0,5111.18
2023-01-03,S002,P002,In-Store,37,25.01,0.052,877.27,1,8.0,581.25
2023-01-03,S002,P003,Online,51,12.05,0.085,562.53,1,7.0,205.31
2023-01-03,S002,P004,In-Store,30,122.77,0.088,3359.1,1,70.0,1258.99
2023-01-03,S002,P005,In-Store,29,94.52,0.102,2461.52,0,45.0,1156.49
2023-01-03,S002,P006,In-Store,31,689.66,0.084,19583.63,1,450.0,5633.59
2023-01-03,S002,P007,In-Store,23,61.63,0.078,1306.86,0,22.0,800.93
2023-01-03,S002,P008,Online,42,7.94,0.029,323.82,0,4.0,155.81
2023-01-03,S002,P009,Online,13,77.03,0.147,854.23,0,38.0,360.19
2023-01-03,S002,P010,Mobile App,18,39.18,0.067,657.9,0,18.0,333.99
2023-01-03,S003,P001,Mobile App,48,847.23,0.068,37901.76,0,600.0,9101.68
2023-01-03,S003,P002,In-Store,23,25.05,0.033,557.06,0,8.0,373.14
2023-01-03,S003,P003,Mobile App,31,12.29,0.006,378.82,0,7.0,161.7
2023-01-03,S003,P004,Online,43,116.42,0.027,4871.04,1,70.0,1860.9
2023-01-03,S003,P005,In-Store,53,97.31,0.008,5116.09,2,45.0,2731.17
2023-01-03,S003,P006,Online,29,686.08,0.105,17807.16,0,450.0,4757.21
2023-01-03,S003,P007,In-Store,49,59.06,0.064,2708.72,0,22.0,1630.73
2023-01-03,S003,P008,Online,35,8.09,0.106,253.05,0,4.0,113.14
2023-01-03,S003,P009,In-Store,41,75.46,0.113,2744.13,1,38.0,1186.25
2023-01-03,S003,P010,Mobile App,41,39.83,0.049,1553.08,1,18.0,815.01
2023-01-03,S004,P001,Mobile App,31,829.61,0.074,23814.82,1,600.0,5214.78
2023-01-03,S004,P002,In-Store,20,24.29,0.016,478.0,0,8.0,318.03
2023-01-03,S004,P003,Online,17,12.25,0.016,204.85,0,7.0,85.92
2023-01-03,S004,P004,Online,28,122.2,0.148,2915.08,1,70.0,955.2
2023-01-03,S004,P006,Online,39,692.09,0.116,23860.59,0,450.0,6310.49
2023-01-03,S004,P007,Online,34,59.99,0.129,1776.5,0,22.0,1028.54
2023-01-03,S004,P008,Online,49,7.91,0.075,358.68,1,4.0,162.52
2023-01-03,S004,P009,Online,31,73.33,0.072,2109.55,0,38.0,931.56
2023-01-03,S004,P010,Online,23,41.12,0.0,945.76,0,18.0,531.76
2023-01-03,S005,P001,Mobile App,21,828.75,0.012,17194.8,0,600.0,4594.9
2023-01-03,S005,P002,In-Store,20,24.28,0.003,484.2,0,8.0,324.14
2023-01-03,S005,P003,In-Store,51,11.76,0.101,539.07,2,7.0,182.18
2023-01-03,S005,P004,In-Store,41,117.85,0.123,4237.35,0,70.0,1367.53
2023-01-03,S005,P005,In-Store,48,94.02,0.063,4228.8,2,45.0,2068.64
2023-01-03,S005,P006,In-Store,15,687.83,0.063,9667.5,0,450.0,2917.45
2023-01-03,S005,P007,In-Store,28,59.45,0.037,1603.0,0,22.0,987.01
2023-01-03,S005,P008,Online,5,7.89,0.026,38.4,0,4.0,18.42
2023-01-03,S005,P009,In-Store,37,73.5,0.092,2469.38,1,38.0,1063.31
2023-01-03,S005,P010,In-Store,45,39.98,0.011,1779.3,1,18.0,969.31
2023-01-04,S001,P001,In-Store,32,849.39,0.069,25304.96,0,600.0,6105.03
2023-01-04,S001,P002,Online,37,25.18,0.042,892.44,1,8.0,596.53
2023-01-04,S001,P003,Online,34,12.12,0.062,386.58,1,7.0,148.53
2023-01-04,S001,P005,Online,56,95.38,0.053,5057.92,1,45.0,2538.19
2023-01-04,S001,P006,In-Store,52,706.28,0.102,32980.48,0,450.0,9580.45
2023-01-04,S001,P007,Online,34,58.65,0.029,1936.3,0,22.0,1188.27
2023-01-04,S001,P008,In-Store,26,7.96,0.005,205.92,0,4.0,101.93
2023-01-04,S001,P009,In-Store,20,72.9,0.106,1303.4,0,38.0,543.45
2023-01-04,S001,P010,Mobile App,38,39.18,0.016,1464.9,1,18.0,781.02
2023-01-04,S002,P001,Online,29,870.29,0.031,24455.99,0,600.0,7056.02
2023-01-04,S002,P002,Online,21,24.73,0.101,466.83,0,8.0,298.88
2023-01-04,S002,P003,Online,56,12.03,0.003,671.44,2,7.0,279.66
2023-01-04,S002,P004,Online,22,117.95,0.039,2493.7,0,70.0,953.7
2023-01-04,S002,P005,Online,52,92.4,0.063,4502.16,1,45.0,2162.1
2023-01-04,S002,P006,Online,33,686.86,0.009,22462.44,0,450.0,7612.38
2023-01-04,S002,P007,Online,12,61.15,0.029,712.56,0,22.0,448.52
2023-01-04,S002,P008,Online,29,8.08,0.045,223.88,1,4.0,107.78
2023-01-04,S002,P009,In-Store,36,76.23,0.125,2401.2,0,38.0,1033.25
2023-01-04,S002,P010,In-Store,50,40.51,0.101,1821.0,2,18.0,920.92
2023-01-04,S003,P001,Online,18,840.32,0.125,13235.04,0,600.0,2435.04
2023-01-04,S003,P002,Online,29,25.23,0.102,657.14,0,8.0,425.04
2023-01-04,S003,P003,In-Store,67,11.83,0.148,675.36,0,7.0,206.3
2023-01-04,S003,P004,Mobile App,29,119.18,0.138,2979.17,0,70.0,949.26
2023-01-04,S003,P005,In-Store,44,93.92,0.067,3855.72,0,45.0,1875.6
2023-01-04,S003,P006,In-Store,34,685.85,0.05,22153.04,1,450.0,6852.96
2023-01-04,S003,P007,In-Store,41,59.61,0.109,2177.51,0,22.0,1275.61
2023-01-04,S003,P008,Mobile App,25,8.15,0.094,184.5,1,4.0,84.6
2023-01-04,S003,P009,In-Store,16,75.1,0.077,1109.12,0,38.0,501.08
2023-01-04,S003,P010,In-Store,49,40.84,0.142,1716.96,0,18.0,835.0
2023-01-04,S004,P001,Online,0,843.0,0.075,0.0,0,600.0,0.0
2023-01-04,S004,P002,In-Store,44,24.4,0.12,944.68,0,8.0,592.77
2023-01-04,S004,P003,Online,50,12.2,0.113,541.0,0,7.0,191.07
2023-01-04,S004,P004,Online,29,120.24,0.081,3204.5,1,70.0,1174.52
2023-01-04,S004,P005,In-Store,24,93.48,0.108,2001.12,0,45.0,921.22
2023-01-04,S004,P006,Online,24,716.14,0.005,17101.44,0,450.0,6301.42
2023-01-04,S004,P007,Online,48,58.83,0.046,2693.76,0,22.0,1637.94
2023-01-04,S004,P008,Mobile App,44,7.85,0.132,299.64,1,4.0,123.81
2023-01-04,S004,P009,In-Store,43,72.79,0.043,2995.38,0,38.0,1361.38
2023-01-04,S004,P010,Online,39,39.72,0.007,1538.16,1,18.0,836.24
2023-01-04,S005,P001,In-Store,40,871.12,0.083,31952.8,0,600.0,7952.68
2023-01-04,S005,P002,Mobile App,47,25.1,0.141,1013.32,1,8.0,637.36
2023-01-04,S005,P003,In-Store,21,11.75,0.12,217.14,0,7.0,70.14
2023-01-04,S005,P004,Mobile App,60,120.59,0.016,7119.6,1,70.0,2919.63
2023-01-04,S005,P005,In-Store,15,95.84,0.137,1240.65,0,45.0,565.65
2023-01-04,S005,P006,In-Store,23,698.86,0.081,14771.75,1,450.0,4421.8
2023-01-04,S005,P007,In-Store,50,60.63,0.114,2686.0,0,22.0,1585.91
2023-01-04,S005,P008,Online,26,7.93,0.04,197.86,1,4.0,93.93
2023-01-04,S005,P009,Online,49,74.5,0.073,3383.94,1,38.0,1522.01
2023-01-04,S005,P010,Online,56,38.99,0.136,1886.64,2,18.0,878.49
2023-01-05,S001,P001,Online,31,866.18,0.122,23575.81,0,600.0,4975.69
2023-01-05,S001,P002,Mobile App,38,25.67,0.044,932.52,0,8.0,628.54
2023-01-05,S001,P003,Mobile App,33,12.05,0.092,361.02,0,7.0,130.07
2023-01-05,S001,P004,In-Store,21,119.22,0.065,2340.87,0,70.0,870.88
2023-01-05,S001,P005,In-Store,28,94.1,0.067,2458.4,0,45.0,1198.27
2023-01-05,S001,P007,Online,50,58.8,0.03,2852.0,1,22.0,1751.8
2023-01-05,S001,P008,In-Store,45,7.84,0.123,309.6,0,4.0,129.41
2023-01-05,S001,P009,In-Store,53,75.43,0.084,3661.77,0,38.0,1647.98
2023-01-05,S001,P010,In-Store,61,40.17,0.017,2408.89,0,18.0,1310.71
2023-01-05,S002,P001,In-Store,34,861.8,0.069,27279.56,0,600.0,6879.42
2023-01-05,S002,P002,In-Store,26,24.97,0.104,581.62,0,8.0,373.7
2023-01-05,S002,P003,In-Store,47,11.68,0.088,500.55,1,7.0,171.65
2023-01-05,S002,P005,Online,45,97.83,0.024,4296.6,1,45.0,2271.69
2023-01-05,S002,P006,Mobile App,32,681.91,0.042,20904.64,0,450.0,6504.63
2023-01-05,S002,P007,Online,37,58.65,0.044,2074.59,1,22.0,1260.57
2023-01-05,S002,P008,Online,26,8.2,0.037,205.4,0,4.0,101.31
2023-01-05,S002,P009,Online,27,72.95,0.135,1703.7,1,38.0,677.75
2023-01-05,S002,P010,Online,43,39.38,0.011,1674.85,1,18.0,900.71
2023-01-05,S003,P001,Online,17,831.87,0.119,12458.96,0,600.0,2258.92
2023-01-05,S003,P002,Online,56,24.58,0.026,1340.64,2,8.0,892.69
2023-01-05,S003,P003,In-Store,37,11.81,0.057,412.18,0,7.0,153.06
2023-01-05,S003,P004,In-Store,48,117.65,0.059,5314.08,0,70.0,1954.02
2023-01-05,S003,P005,In-Store,26,93.14,0.126,2116.4,1,45.0,946.51
2023-01-05,S003,P006,In-Store,11,688.51,0.021,7414.55,0,450.0,2464.56
2023-01-05,S003,P007,In-Store,34,60.76,0.037,1989.34,0,22.0,1241.4
2023-01-05,S003,P009,In-Store,41,73.02,0.02,2933.96,1,38.0,1375.94
2023-01-05,S003,P010,In-Store,52,40.32,0.053,1985.36,0,18.0,1049.52
2023-01-05,S004,P001,In-Store,19,857.54,0.087,14875.67,0,600.0,3475.75
2023-01-05,S004,P002,In-Store,28,24.64,0.098,622.44,0,8.0,398.31
2023-01-05,S004,P003,Online,43,12.23,0.048,500.52,1,7.0,199.65
2023-01-05,S004,P004,Online,40,121.07,0.074,4484.4,0,70.0,1684.43
2023-01-05,S004,P005,In-Store,24,92.36,0.132,1924.08,0,45.0,844.04
2023-01-05,S004,P006,In-Store,13,695.8,0.013,8927.75,0,450.0,3077.81
2023-01-05,S004,P007,In-Store,24,60.62,0.073,1348.56,0,22.0,820.67
2023-01-05,S004,P008,In-Store,49,7.76,0.107,339.57,1,4.0,143.55
2023-01-05,S004,P009,In-Store,20,76.54,0.118,1350.2,0,38.0,590.17
2023-01-05,S004,P010,In-Store,43,39.92,0.066,1603.47,1,18.0,829.27
2023-01-05,S005,P001,Online,20,852.64,0.136,14733.6,0,600.0,2733.62
2023-01-05,S005,P002,Online,39,24.59,0.031,929.37,1,8.0,617.28
2023-01-05,S005,P003,In-Store,18,11.99,0.069,200.88,0,7.0,74.93
2023-01-05,S005,P004,In-Store,38,122.8,0.066,4358.6,0,70.0,1698.42
2023-01-05,S005,P005,In-Store,58,92.54,0.12,4723.52,2,45.0,2113.24
2023-01-05,S005,P006,In-Store,32,704.11,0.039,21652.8,0,450.0,7252.79
2023-01-05,S005,P007,In-Store,40,58.74,0.002,2344.8,0,22.0,1464.9
2023-01-05,S005,P008,In-Store,63,7.9,0.05,472.5,0,4.0,220.82
2023-01-05,S005,P009,Mobile App,54,74.08,0.129,3484.08,1,38.0,1432.28
2023-01-05,S005,P010,In-Store,31,40.53,0.146,1072.91,1,18.0,514.99
2023-01-06,S001,P001,In-Store,36,825.96,0.006,29556.0,0,600.0,7956.15
2023-01-06,S001,P002,Online,17,25.41,0.021,422.96,0,8.0,286.9
2023-01-06,S001,P003,In-Store,52,11.75,0.128,533.0,0,7.0,168.79
2023-01-06,S001,P004,In-Store,25,119.2,0.039,2863.75,1,70.0,1113.78
2023-01-06,S001,P005,Online,61,94.13,0.065,5368.61,0,45.0,2623.7
2023-01-06,S001,P006,In-Store,10,712.1,0.021,6971.5,0,450.0,2471.46
2023-01-06,S001,P007,Online,40,58.31,0.089,2124.8,1,22.0,1244.82
2023-01-06,S001,P008,Online,46,8.06,0.131,322.0,0,4.0,138.19
2023-01-06,S001,P009,Online,13,72.87,0.102,850.72,0,38.0,356.68
2023-01-06,S001,P010,Online,40,39.46,0.111,1403.2,1,18.0,683.2
2023-01-06,S002,P001,Online,40,838.91,0.043,32113.6,1,600.0,8113.47
2023-01-06,S002,P002,In-Store,29,24.58,0.098,642.93,0,8.0,410.96
2023-01-06,S002,P003,Online,24,11.75,0.033,272.64,1,7.0,104.69
2023-01-06,S002,P004,In-Store,23,120.54,0.023,2708.71,0,70.0,1098.65
2023-01-06,S002,P005,Mobile App,37,92.75,0.016,3376.99,1,45.0,1711.84
2023-01-06,S002,P006,Online,37,682.93,0.045,24131.4,0,450.0,7481.33
2023-01-06,S002,P007,Mobile App,51,61.52,0.119,2764.2,2,22.0,1642.16
2023-01-06,S002,P008,Online,37,8.03,0.103,266.4,0,4.0,118.51
2023-01-06,S002,P009,In-Store,15,75.31,0.068,1052.85,0,38.0,482.83
2023-01-06,S002,P010,Online,59,39.8,0.133,2036.09,1,18.0,973.89
2023-01-06,S003,P001,In-Store,28,833.9,0.043,22345.12,1,600.0,5545.18
2023-01-06,S003,P002,In-Store,7,25.59,0.015,176.47,0,8.0,120.44
2023-01-06,S003,P004,In-Store,36,120.65,0.058,4091.4,1,70.0,1571.48
2023-01-06,S003,P005,Online,53,92.98,0.049,4686.26,0,45.0,2301.47
2023-01-06,S003,P006,Online,28,709.35,0.097,17935.12,1,450.0,5335.21
2023-01-06,S003,P007,Mobile App,26,60.65,0.144,1349.92,0,22.0,777.83
2023-01-06,S003,P008,Mobile App,38,8.14,0.128,269.8,1,4.0,117.73
2023-01-06,S003,P009,Online,52,75.25,0.136,3381.04,0,38.0,1404.83
2023-01-06,S003,P010,In-Store,36,39.08,0.018,1381.68,0,18.0,733.56
2023-01-06,S004,P001,Online,10,855.65,0.103,7675.2,0,600.0,1675.18
2023-01-06,S004,P002,Mobile App,37,25.57,0.144,809.93,0,8.0,513.85
2023-01-06,S004,P003,Online,50,12.13,0.02,594.5,0,7.0,244.37
2023-01-06,S004,P004,In-Store,39,123.07,0.089,4372.68,1,70.0,1642.55
2023-01-06,S004,P005,Online,18,94.39,0.07,1580.04,0,45.0,770.09
2023-01-06,S004,P006,Mobile App,13,691.76,0.071,8354.45,0,450.0,2504.39
2023-01-06,S004,P007,In-Store,26,60.18,0.063,1466.14,0,22.0,894.11
2023-01-06,S004,P008,Online,12,8.24,0.138,85.2,0,4.0,37.23
2023-01-06,S004,P009,Online,55,75.93,0.145,3570.6,2,38.0,1480.61
2023-01-06,S004,P010,In-Store,44,41.07,0.032,1749.44,1,18.0,957.25
2023-01-06,S005,P001,In-Store,8,832.56,0.083,6107.68,0,600.0,1307.66
2023-01-06,S005,P002,In-Store,41,25.46,0.087,952.84,1,8.0,625.04
2023-01-06,S005,P003,Online,24,11.92,0.053,270.96,0,7.0,102.92
2023-01-06,S005,P004,In-Store,27,117.45,0.009,3142.53,0,70.0,1252.61
2023-01-06,S005,P005,In-Store,43,94.22,0.056,3824.42,0,45.0,1889.58
2023-01-06,S005,P006,In-Store,34,699.21,0.023,23226.42,1,450.0,7926.36
2023-01-06,S005,P007,In-Store,37,58.33,0.021,2113.07,0,22.0,1298.89
2023-01-06,S005,P008,Online,27,8.16,0.029,213.84,0,4.0,105.93
2023-01-06,S005,P009,In-Store,40,76.48,0.009,3031.6,1,38.0,1511.67
2023-01-06,S005,P010,Online,46,39.97,0.024,1794.46,1,18.0,966.49
2023-01-07,S001,P001,Online,44,859.89,0.057,35678.72,1,600.0,9278.56
2023-01-07,S001,P002,Online,30,25.18,0.066,705.6,1,8.0,465.54
2023-01-07,S001,P003,Online,75,11.7,0.119,773.25,0,7.0,248.08
2023-01-07,S001,P004,In-Store,47,120.51,0.064,5301.6,0,70.0,2011.48
2023-01-07,S001,P005,Online,19,97.41,0.05,1758.26,0,45.0,903.25
2023-01-07,S001,P006,In-Store,23,698.06,0.051,15236.58,1,450.0,4886.56
2023-01-07,S001,P007,Online,53,61.01,0.077,2984.43,1,22.0,1818.55
2023-01-07,S001,P008,Online,65,7.95,0.122,453.7,0,4.0,193.71
2023-01-07,S001,P009,In-Store,46,76.06,0.007,3474.38,0,38.0,1726.27
2023-01-07,S001,P010,Online,69,39.11,0.149,2296.32,0,18.0,1054.5
2023-01-07,S002,P001,Online,27,870.45,0.051,22303.62,0,600.0,6103.54
2023-01-07,S002,P002,In-Store,44,24.43,0.035,1037.08,1,8.0,685.3
2023-01-07,S002,P003,In-Store,29,11.67,0.088,308.56,0,7.0,105.65
2023-01-07,S002,P004,Online,18,122.96,0.019,2171.16,0,70.0,911.23
2023-01-07,S002,P005,In-Store,38,92.68,0.068,3282.44,0,45.0,1572.35
2023-01-07,S002,P006,In-Store,58,708.8,0.058,38726.02,2,450.0,12626.0
2023-01-07,S002,P007,In-Store,52,59.09,0.081,2823.6,0,22.0,1679.79
2023-01-07,S002,P008,Mobile App,34,8.19,0.095,251.94,1,4.0,116.01
2023-01-07,S002,P009,In-Store,25,75.31,0.019,1847.0,0,38.0,896.98
2023-01-07,S002,P010,In-Store,37,40.38,0.131,1298.33,1,18.0,632.34
2023-01-07,S003,P001,In-Store,44,865.61,0.092,34582.68,1,600.0,8182.85
2023-01-07,S003,P002,Online,37,24.55,0.082,833.98,0,8.0,537.87
2023-01-07,S003,P003,Mobile App,39,12.04,0.082,430.95,0,7.0,158.06
2023-01-07,S003,P004,In-Store,44,118.99,0.053,4957.92,1,70.0,1878.08
2023-01-07,S003,P005,Mobile App,55,95.79,0.058,4962.65,0,45.0,2487.88
2023-01-07,S003,P006,In-Store,42,714.2,0.059,28226.52,0,450.0,9326.61
2023-01-07,S003,P007,Online,39,61.75,0.123,2111.85,1,22.0,1254.04
2023-01-07,S003,P008,In-Store,66,8.21,0.09,493.02,0,4.0,229.09
2023-01-07,S003,P009,In-Store,42,75.5,0.101,2850.54,0,38.0,1254.73
2023-01-07,S003,P010,Online,24,40.49,0.057,916.32,1,18.0,484.37
2023-01-07,S004,P001,Online,29,832.78,0.069,22484.28,0,600.0,5084.23
2023-01-07,S004,P002,In-Store,59,25.19,0.102,1334.58,1,8.0,862.62
2023-01-07,S004,P003,Online,71,12.35,0.043,839.22,1,7.0,342.15
2023-01-07,S004,P004,In-Store,40,118.95,0.12,4187.2,0,70.0,1387.04
2023-01-07,S004,P005,Online,61,97.09,0.059,5572.96,2,45.0,2828.06
